username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/03/08 20:49;6;39;"UDOT, like the rest of the transportation industry, is better today because of the strong, intelligent, hard-working women among us. But the sad reality is, women comprise only 15% of our work force. We need more! #InternationalWomensDay #BalanceforBetterhttps://www.linkedin.com/pulse/working-toward-balance-better-transportation-carlos-braceras/?published=t …";;;#InternationalWomensDay #BalanceforBetterhttps;"1104121927042400256";https://twitter.com/CarlosUDOT/status/1104121927042400256
;2019/03/07 05:31;131;512;"Traffic is a burden and spending long hours in traffic breeds inefficiency Transportation for a Greater Lagos will see the completion of all strategic projects & will connect communities to opportunities through an intelligent transport system which encompasses rail, water, road pic.twitter.com/1AOxgTP44P";;;;"1103528643471515649";https://twitter.com/TheNextLevelNG/status/1103528643471515649
;2019/02/27 13:26;17;69;"Held a meeting with DDA, Delhi Traffic Police & SPA to discuss Comprehensive Traffic & Transportation plan of Dwarka We need to focus on intra city-NMT, Para transit, bus rapid, local area parking management, intelligent traffic management & Multi modal integration in the plan pic.twitter.com/JjWXrifT9j";;;;"1100749106153250816";https://twitter.com/LtGovDelhi/status/1100749106153250816
;2019/06/30 22:00;1;13;"Currently, wait times at the 3 bridges in #ElPaso cause over $1.5 billion in losses. I am proud to have been able to secure $32 million in funding for an Intelligent Transportation System at international ports of entry in El Paso to expedite and increase trade. #txlege #140in40pic.twitter.com/DLTLvEV3yc";;;#ElPaso #txlege #140in40pic;"1145436848568692736";https://twitter.com/RepMaryGonzalez/status/1145436848568692736
;2019/06/25 22:27;6;9;"The smart cities use cases with the most spending over the forecast are closely aligned with the leading strategic priorities: smart grid, fixed visual surveillance, advanced public transportation, smart outdoor lighting, and intelligent traffic management. pic.twitter.com/bHCSrjshGz";;;;"1143631879062675456";https://twitter.com/IDC/status/1143631879062675456
;2019/06/25 18:03;5;26;"For the first time ever in #Pakistan, an Intelligent Transportation System (ITS) is set to be introduced by the Capital Development Authority (CDA) to ease transportation-related issues. https://defence.pk/pdf/threads/islamabad-to-get-pakistans-first-intelligent-transportation-system-its.624584/#.XRJTwVj7uqY.twitter …";;;#Pakistan #;"1143565484836741120";https://twitter.com/DefencedotPak/status/1143565484836741120
;2019/06/24 20:08;1;13;"This morning, Secretary Thibault spoke at the @ITS_America Florida I3 Showcase in Orlando focusing on how Florida can use integrated, intelligent and innovative transportation solutions to transform our transportation system. pic.twitter.com/8LBr5Bwfq3";;@ITS_America;;"1143234416354955264";https://twitter.com/MyFDOT/status/1143234416354955264
;2019/06/24 15:28;10;14;"Great to see our new concept and article, #Civil #Infrastructure 4.0, being presented at #ICONHIC2019 conference that takes place this week in Crete, Greece. @Hydro_Mechanic @iconhic2019 @UofGlasgow #intelligent #Transportation #smart #sensing #IoT #ICTpic.twitter.com/bwDpsnwygE";;@Hydro_Mechanic @iconhic2019 @UofGlasgow;#Civil #Infrastructure #ICONHIC2019 #intelligent #Transportation #smart #sensing #IoT #ICTpic;"1143164113901805568";https://twitter.com/Dr_PMichalis/status/1143164113901805568
;2019/06/24 08:10;5;30;"Pakistan’s first ever intelligent transportation system being launched http://bit.ly/2FqsEpp pic.twitter.com/NLuuvBSwRL";;;;"1143053803773673472";https://twitter.com/TimesofIslambad/status/1143053803773673472
;2019/06/21 06:36;19;2;"Intelligent transportation: The most important pillar of a smart city? As part of Information Age's Smart City Month, James I. Chong, founder and #CEO of Vidsys, looks at .. http://7wd.at/b1d47a  #7wDatahttp://www.7wdata.be/x/aHR0cHM6Ly93d3cuN3dkYXRhLmJlL2VuZ2luZWVyaW5nL2ludGVsbGlnZW50LXRyYW5zcG9ydGF0aW9uLXRoZS1tb3N0LWltcG9ydGFudC1waWxsYXItb2YtYS1zbWFydC1jaXR5Lw==/aHR0cHM6Ly93d3cuN3dkYXRhLmJlL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDE5LzA2L2ludGVsbGlnZW50LXRyYW5zcG9ydGF0aW9uanBnLnBuZw==/SW50ZWxsaWdlbnQgdHJhbnNwb3J0YXRpb246IFRoZSBtb3N0IGltcG9ydGFudCBwaWxsYXIgb2YgYSBzbWFydCBjaXR5PyAgICA=/QXMgcGFydCBvZiBJbmZvcm1hdGlvbiBBZ2UncyBTbWFydCBDaXR5IE1vbnRoLCBKYW1lcyBJLiBDaG9uZywgZm91bmRlciBhbmQgQ0VPIG9mIFZpZHN5cywgbG9va3MgYXQgdGhlIGltcG9ydGFuY2Ugb2YgdHJhbnNwb3J0IGluIHRoZSBzdWNjZXNzIG9mIHNtYXJ0IGNpdGllcwoKU21hcnQgY2l0eSBpbml0aWF0aXZlcywgc3VjaA== …";;;#CEO #7wDatahttp;"1141943067617976320";https://twitter.com/YvesMulkers/status/1141943067617976320
